"Timestamp","Team Number","Match Type","Match Number","What did the robot do during autonomous?","Starting Position","Comments","Rate this robot's autonomous:","Cubes placed in Exchange Zone (EZ)","Cubes placed in Switch","Cubes placed in Scale","Which of these things did the robot do?","Rate the Cycle Time","Rate the Driving Ability","What did the robot do in endgame?","What was the robot's primary function?","What was the team's result?","How many points did the team's alliance score?","How many points did the other alliance score?","General Comments"
"2018/03/01 12:16:19 PM EST","3777","Practice","1","Cross Baseline","Middle","","3","0","0","0","Neither","1","1","Attempted Climb","Offense","Loss","20","280","Didn’t dispense any cube"
"2018/03/01 12:16:24 PM EST","5667","Practice","1","Nothing - robot did not move","Left","","1","0","0","0","Pick cube off the floor","1","1","Neither","Both","Loss","20","280","Tippy"
"2018/03/01 12:16:33 PM EST","3504","Practice","1","Cross Baseline","Right","","2","0","0","0","Pick cube off the floor","1","1","Platform","Offense","Loss","20","280","Something went wrong I believe because Tina looked stressed and there was very little movement the whole time."
"2018/03/01 12:17:26 PM EST","291","Practice","1","Cross Baseline;Put Cube(s) in Switch (if multiple specify below);2","Middle","Scored multiple cubes and picks up cubes from stack on floor","5","3","2","2","Pick cube off the floor","3","2","Platform","Offense","Win","280","20","Fast robot. It looks like a very experienced drive team. The robot was sturdy and stable."
"2018/03/01 12:33:03 PM EST","3484","Practice","2","Nothing - robot did not move","Left","No movement.","1","0","0","0","Neither","1","1","Neither","Both","Loss","164","202","The robot DID NOT MOVE the entire match!"
"2018/03/01 12:33:03 PM EST","6765","Practice","2","Cross Baseline","Right","","3","0","1","0","Get cube from the portal","1","2","Neither","Offense","Win","202","164","Couldn’t successfully get the cube from the portals but they tried."
"2018/03/01 12:33:10 PM EST","6936","Practice","2","Cross Baseline","Right","","1","0","0","0","Pick cube off the floor","1","1","Neither","Both","Loss","164","202","Fliped over"
"2018/03/01 12:33:11 PM EST","3266","Practice","2","Nothing - robot did not move","Middle","","1","2","2","0","Pick cube off the floor","2","3","Platform","Offense","Loss","159","202",""
"2018/03/01 12:33:16 PM EST","6032","Practice","2","Nothing - robot did not move","Left","","1","9","0","0","Pick cube off the floor","3","2","Neither","Offense","Win","202","164","Filled up all power ups on their own"
"2018/03/01 12:43:06 PM EST","3010","Practice","3","Put Cube(s) in Switch (if multiple specify below)","Right","","5","0","0","4","Pick cube off the floor","3","2","Platform","Offense","Loss","182","208","Droppd the box once"
"2018/03/01 12:44:09 PM EST","451","Practice","3","Nothing - attempted auto and failed (explain below);Moved a few inches","Middle","It looked like they tried to cross the baseline but fell short.","2","1","2","0","Pick cube off the floor","1","1","Neither","Offense","Loss","182","208","The robot moved extremely slowly throughout the match."
"2018/03/01 12:44:22 PM EST","4085","Practice","3","Cross Baseline;Put Cube(s) in Switch (if multiple specify below);One cube","Left","Good auto ","4","0","0","2","Pick cube off the floor","2","3","Neither","Offense","Win","208","182","Really good at scale"
"2018/03/01 12:48:30 PM EST","379","Practice","3","Cross Baseline;Put Cube(s) in Switch (if multiple specify below)","Right","","2","0","0","1","Pick cube off the floor","2","2","Attempted Climb","Offense","Win","208","182","THEY FLOWERED!! No one took the advantage and they didn’t actually climb"
"2018/03/01 12:51:55 PM EST","554","Practice","4","Put Cube(s) in Switch (if multiple specify below)","Middle","","5","0","3","0","Pick cube off the floor","2","1","Successful Climb","Offense","Win","316","5","Dropped one box. Speed is so slow"
"2018/03/01 12:52:00 PM EST","1466","Practice","4","Cross Baseline","Left","The robot lines itself up to shoot into the scale at the end of auto.","3","2","0","3","Pick cube off the floor","2","2","Platform","Offense","Win","316","5","Nice shooter on robot- consistent in scale."
"2018/03/01 1:01:04 PM EST","1014","Practice","5","Nothing - attempted auto and failed (explain below);Move a little ","Right","","2","0","1","2","Pick cube off the floor","2","2","Platform","Offense","Win","195","150","Little shaky"
"2018/03/01 1:01:10 PM EST","3201","Practice","5","Nothing - robot did not move","Left","Did not move","1","0","0","0","Neither","1","1","Neither","Both","Win","195","150","The robot DID NOT MOVE the entire match."
"2018/03/01 1:01:27 PM EST","1317","Practice","5","Cross Baseline","Right","","2","1","1","3","Pick cube off the floor","2","2","Platform","Offense","Loss","150","195","Got a penalty for dropping a cube when they tried to place on scale."
"2018/03/01 1:01:40 PM EST","128","Practice","5","Cross Baseline","Left","","3","0","0","1","Pick cube off the floor","1","3","Neither","Offense","Win","195","150","It’s speed is fast. But it’s having difficulty of grab the boxes."
"2018/03/01 1:12:47 PM EST","3777","Practice","6","Cross Baseline","Left","","2","0","0","0","Pick cube off the floor","1","1","Attempted Climb","Offense","Loss","218","271","Just kept driving around and didn’t do anything"
"2018/03/01 1:13:08 PM EST","379","Practice","6","Nothing - robot did not move","Middle","","1","0","3","5","Pick cube off the floor","2","2","Successful Climb","Offense","Loss","218","271","Good at placing safety on the scale"
"2018/03/01 1:13:21 PM EST","4362","Practice","6","Nothing - robot did not move","Middle","","1","0","1","2","Pick cube off the floor","3","3","Neither","Offense","Win","271","218","It was really fast and doing good but once its lift was broken the robot didn’t move. "
"2018/03/01 1:13:30 PM EST","3266","Practice","6","Cross Baseline","Left","","2","5","2","0","Pick cube off the floor","3","2","Platform","Offense","Win","271","218","Quick at putting the blocks in the ez"
"2018/03/01 1:22:38 PM EST","3010","Practice","7","Nothing - robot did not move","Left","She didn’t move","1","0","0","2","Pick cube off the floor","2","2","Platform","Offense","Loss","214","220","Some trouble getting cube onto scale but figured it out"
"2018/03/01 1:23:16 PM EST","4028","Practice","7","Put Cube(s) in Switch (if multiple specify below);Tried to collect another cube but failed","Middle","","4","3","0","0","Pick cube off the floor","1","2","Successful Climb","Offense","Loss","214","220","Struggled pushing blocks into ez"
"2018/03/01 1:24:47 PM EST","337","Practice","7","Put Cube(s) in Scale (if multiple specify below)","Right","Very fast","5","0","4","1","Get cube from the portal","3","3","Successful Climb","Offense","Win","220","214","This robot is really cute. It lols like eat and whenever it puts in the scale it looks like a person. It started to climb when 26 seconds left and 16 seconds left when it finished climbing. Its speed is really fast"
"2018/03/01 1:31:59 PM EST","5811","Practice","8","Cross Baseline","Right","","2","0","4","0","Pick cube off the floor","1","2","Neither","Offense","Loss","147","238","Struggled putting blocks in the switch"
"2018/03/01 1:32:00 PM EST","1038","Practice","8","Nothing - attempted auto and failed (explain below)","Middle","","2","0","1","2","Pick cube off the floor;Get cube from the portal","1","1","Neither","Offense","Loss","147","238"," Very unsteady driving "
